customer_id,industry,annual_revenue,ebitda_margin,current_ratio,leverage_ratio,cash_flow,loan_amount,loan_term_months,interest_rate,debt_to_income,credit_utilization,number_of_accounts,delinquencies_12m,previous_defaults,collateral_value,days_past_due,years_in_business,ead,lgd,default,pd_true,predicted_pd,credit_score,risk_band,ecl_12m,stage,lifetime_ecl
SME102238,Retail,198291.50878718332,0.1485684691897754,1.4668510784833428,3.958482993190681,36329.68393334374,39683.93906677303,48,0.1023220347268311,0.0827274866462395,0.4708569893036474,3,0,0,134783.75571124762,0,7.5,37930.636289991686,0.1969277939147198,0,0.041502684323957,0.4021971143678172,412.4919517653958,Very High,3004.250168397754,Stage 3,12017.000673591016
SME108280,Construction,731791.8324489307,0.0519316638768,2.392280816315832,3.411754824851111,24334.410770467395,31145.232069600774,36,0.0951342634261018,0.4538703625253631,0.1013578798798387,5,0,0,169727.00841111474,2,11.2,31511.02549697696,0.206161629901903,0,0.0351767335608726,0.2296384777973696,471.21215766002047,Very High,1491.8152265991314,Stage 3,5967.260906396526
SME104662,Construction,861965.6154522697,0.0389249136092895,0.845074640751166,4.536574319498167,88546.4609615735,58060.975032119895,24,0.0495723048511419,0.4540458015134563,0.8246037766991104,6,0,0,31298.71191099821,0,10.0,55985.87869430178,0.4244323183315262,0,0.2024739609365297,0.7289526590366124,312.53958177276144,Very High,17321.530747777226,Stage 3,69286.1229911089
SME109950,Manufacturing,414373.67675776617,0.1354793446283199,1.4809427329945024,2.451896657398237,7162.433214695051,58905.70625498311,60,0.0571086539987886,0.3561458897330042,0.5507207850707979,10,0,0,125708.10847114844,0,14.1,58707.40852363813,0.1581045237053409,0,0.0630597038881008,0.2848449746370181,450.30754812933395,Very High,2643.904524861793,Stage 3,10575.618099447172
SME104982,Retail,88296.93058859262,0.1237181095794284,1.2421750924102335,3.1140100426198587,158698.36514983675,17563.59014714209,24,0.0723542476147074,0.2329637226992817,0.1878879509979914,4,2,0,284625.8046810382,36,9.2,16384.058711356465,0.159185462087202,0,0.0550509779547027,0.5247854036017275,376.74617307575693,Very High,1368.694887620885,Stage 3,5474.77955048354
SME108297,Wholesale,374525.4793890408,0.1335335195505211,1.5430277594016786,2.714821074662196,57677.67128409263,66724.6902701416,36,0.0596341959143116,0.5634293367263534,0.5900055190532442,6,0,0,62759.58748221778,0,18.3,60045.04166889796,0.3496284869877975,0,0.0166096687810466,0.3386871094370283,432.17259250898405,Very High,7110.213292066344,Stage 3,28440.853168265377
SME108339,Professional Services,2198314.336661343,0.0996912963612549,0.6527359846091016,4.580931740935224,38851.296469590656,254748.3257944043,60,0.122590199014663,0.3581726227927892,0.6536566887585611,7,1,0,392700.4899901718,22,18.4,246066.26099977308,0.216685727592601,0,0.1555891975241305,0.7025206636871782,321.91603514025513,Very High,37457.73214561423,Stage 3,149830.92858245692
SME105426,Technology,246573.72406396523,0.2369272703035341,1.7608016805566071,2.889747614034093,34034.287008174826,134902.1570477408,48,0.03,0.1228046465640123,0.1214365659667991,7,0,0,172029.95783243357,2,18.7,126280.32902867878,0.2417512634491047,0,0.0125379433073456,0.09929954524797711,542.9630139516903,High,3031.4591259162735,Stage 2,7578.647814790684
SME104790,Construction,87061.07604640456,0.0203212023382211,0.5807937059488779,5.944007175146524,28145.508486919407,56589.69943016297,24,0.0623108868373993,0.4716517700056055,0.2083360358349373,4,0,0,110114.50810649311,48,9.4,51478.380933873705,0.1413775015630203,0,0.4375240292430576,0.8095512426671142,279.51761884810423,Very High,5891.820749353572,Stage 3,23567.282997414288
SME105148,Hospitality,489994.32109993725,0.1257269655711893,1.204022173391128,4.166229595348717,72362.71400641603,12787.28286649343,60,0.1213265457944372,0.5117598485873978,0.1152323287006773,5,0,0,513480.9136462458,19,6.0,11938.033382416334,0.2658532840415099,0,0.0325967536254285,0.506562072659741,382.01007259834455,Very High,1607.7091688829223,Stage 3,6430.836675531689
